,RMSE,R2
Linear Regression,0.66,0.96
Linear Regression (com Lags),0.6580128278347698,0.9643592893328123
Random Forest Regressor,0.5703415148010184,0.9705414327566596
Gradient Boosting Regressor,0.567689742245786,0.9708147280252439
Support Vector Regressor,0.5992001393031398,0.9674848724250338
